,feature,importance_mean,importance_std,val_imp_0,val_imp_1
38,haversine,0.00029788374871675405,3.348953365189811e-05,0.00033137328236865216,0.00026439421506485594
29,categories_lcs,0.0002822075146670655,0.00010350152837829141,0.0001787059862887741,0.0003857090430453569
67,address_leven,0.000174940433694315,1.4534210548033943e-05,0.00016040622314628106,0.00018947464424234894
14,address_decoded_nlcs,0.00016703632927439482,0.0001417516483067649,2.5284680967629924e-05,0.0003087879775811597
62,name_jaro,0.00016652426826052613,1.6432629670048993e-05,0.00018295689793057512,0.00015009163859047714
1,categories_gesh,0.00012915334769741937,1.843084143343665e-05,0.00011072250626398272,0.00014758418913085602
19,name_decoded_gesh,0.00011493721970201598,7.116895850167726e-05,4.376826120033872e-05,0.00018610617820369324
66,url_len_diff,0.00011181361268874923,2.511260881443711e-05,0.00013692622150318634,8.670100387431212e-05
9,main_categories_len_diff,0.00011003704156581362,5.478808849840311e-05,0.00016482513006421673,5.524895306741051e-05
33,state_len_diff,0.00010730065723096871,1.026991255315135e-05,0.00011757056978412006,9.703074467781736e-05
8,main_categories_lcs,0.00010389867224341875,9.790778772972297e-05,0.00020180645997314173,5.990884513695782e-06
41,name_sim,0.0001029843453743684,7.046275640898436e-05,3.252158896538404e-05,0.00017344710178335276
22,state_lcs,0.00010243284950128828,4.993606756353852e-05,0.0001523689170648268,5.249678193774976e-05
42,name_lcs,9.950413739573394e-05,3.82011000769622e-05,0.00013770523747269614,6.130303731877174e-05
24,kdist_name_country,9.615942482460449e-05,2.7482193999006643e-05,0.00012364161882361113,6.867723082559785e-05
70,address_len_diff,9.242603722581233e-05,2.1851820392715382e-05,0.00011427785761852771,7.057421683309695e-05
13,city_jaro,9.193023413084367e-05,3.168592283159244e-05,0.0001236161569624361,6.024431129925123e-05
60,address_decoded_jaro,8.927031631916771e-05,2.4710562412655346e-05,0.00011398087873182305,6.455975390651236e-05
40,kneighbors_name_country,8.246760587193869e-05,0.0001261999410071546,0.00020866754687909328,-4.3732335135215905e-05
18,address_decoded_len_diff,8.206334603466647e-05,1.8368159562687225e-05,0.0001004315055973537,6.369518647197925e-05
48,closest_city_lcs,8.189534175806479e-05,6.536246401456225e-06,8.843158815952101e-05,7.535909535660856e-05
76,name_decoded_len_diff,8.018113519014936e-05,3.107479066744023e-05,0.00011125592585758959,4.910634452270912e-05
64,city_sim,7.906295916387807e-05,5.0880499541661184e-05,0.00012994345870553925,2.8182459622216882e-05
6,euclidean,7.572825735430166e-05,1.9422615433473123e-05,9.515087278777479e-05,5.630564192082854e-05
16,closest_city_nlcsk,7.464829360365188e-05,8.113991848540669e-05,-6.4916248817548095e-06,0.00015578821208905858
52,main_categories_leven,7.257367764001987e-05,3.801337627484802e-05,0.0001105870539148679,3.456030136517185e-05
47,name_decoded_lcs,6.816103829049291e-05,7.898090490787713e-06,7.605912878128063e-05,6.02629477997052e-05
37,city_decoded_lcs,6.764393064456753e-05,7.969126420598327e-05,0.0001473351948505508,-1.204733356141574e-05
15,phone_jaro,6.421416914342837e-05,9.026733733319414e-06,7.324090287674778e-05,5.5187435410108954e-05
11,manhattan,6.396806991998405e-05,3.694361201539431e-05,0.00010091168193537836,2.7024457904589738e-05
10,address_decoded_lcs,5.7493155704690935e-05,3.789001579179718e-05,1.9603139912893752e-05,9.538317149648812e-05
21,url_nleven,5.428105850674436e-05,6.4648191283323e-05,0.00011892924979006736,-1.0367132776578636e-05
53,zip_gesh,5.362306188649857e-05,6.849469653402718e-05,0.00012211775842052575,-1.4871634647528609e-05
2,kdist_country,5.287376255080911e-05,9.984862072187628e-05,-4.697485817106717e-05,0.0001527223832726854
17,zip_jaro,5.1277670219562754e-05,5.6200109723181235e-06,4.565765924724463e-05,5.689768119188088e-05
30,categories_nlcs,4.8362600311324666e-05,1.1443888668083435e-05,3.691871164324123e-05,5.98064889794081e-05
12,zip_leven,4.7908861861845065e-05,1.2057559105105309e-05,5.996642096695037e-05,3.5851302756739756e-05
73,city_nleven,4.635593576790553e-05,0.00013079431618151505,0.00017715025194942058,-8.443838041360952e-05
39,closest_city_len_diff,4.1035737877836986e-05,5.331706549893678e-05,9.435280337677376e-05,-1.2281327621099791e-05
3,main_categories_jaro,4.015972346821384e-05,3.005620471846493e-05,1.0103518749748908e-05,7.021592818667877e-05
75,categories_sim,3.944061908028873e-05,5.462969655362082e-05,9.407031563390955e-05,-1.5189077473332091e-05
79,kneighbors,3.937775428919377e-05,0.00010866671333087385,0.00014804446762006762,-6.928895904168009e-05
46,url_nlcsk,3.781605190705806e-05,0.00010258109468336274,0.0001403971465904208,-6.476504277630468e-05
44,main_categories_nlcsk,3.763418533170304e-05,2.3789326658862908e-05,1.3844858672840132e-05,6.142351199056595e-05
26,name_decoded_nlcsk,3.666394237883397e-05,4.391867339098576e-05,8.058261576981973e-05,-7.254731012151794e-06
31,name_decoded_nlcs,3.631935564357702e-05,8.034148172020306e-06,4.435350381559733e-05,2.8285207471556717e-05
49,url_nlcs,2.72208611752367e-05,4.5031130797235086e-05,7.225199197247179e-05,-1.7810269621998387e-05
4,name_leven,2.5370173865280066e-05,2.336379748002493e-06,2.770655361328256e-05,2.3033794117277573e-05
54,city_gesh,2.5008269463222543e-05,1.7413271311716993e-05,4.242154077493954e-05,7.59499815150555e-06
78,zip_lcs,2.3892043182704992e-05,9.265615244447023e-06,3.3157658427152015e-05,1.4626427938257969e-05
27,cat_cluster_same_cluster,2.354496836876052e-05,0.0001415116891589907,0.00016505665752775123,-0.00011796672079023018
