,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_num_leaves,state
0,0,0.9931859538457324,2022-06-19 12:37:39.290306,2022-06-19 12:53:24.078832,0 days 00:15:44.788526,0.5654056931776374,6,gbdt,0.5432595795095669,1.1314188547416955e-07,1.3913200302937685e-05,0.10004951803381777,162,62,0.062014166639611325,214,COMPLETE
1,1,0.9906587780644746,2022-06-19 12:53:24.079688,2022-06-19 13:07:27.427896,0 days 00:14:03.348208,0.9016507264931654,1,gbdt,0.41950027723877675,0.03668989971358215,5.8466895187326795,0.009186596187905877,177,37,0.09466005539904067,100,COMPLETE
2,2,0.9905482940335918,2022-06-19 13:07:27.428800,2022-06-19 13:22:46.682993,0 days 00:15:19.254193,0.8933627966990414,4,gbdt,0.7508316736623503,0.347733110095675,4.826131967459972e-05,0.007615292094901635,105,41,0.07612104627235977,185,COMPLETE
3,3,0.9902728797254972,2022-06-19 13:22:46.683854,2022-06-19 13:37:31.815757,0 days 00:14:45.131903,0.905818155588652,4,gbdt,0.646212767102985,4.675311171728331e-06,0.001130973876577991,0.006237581565606524,77,64,0.046425116351134346,179,COMPLETE
4,4,0.9898461367245553,2022-06-19 13:37:31.816618,2022-06-19 13:50:23.193599,0 days 00:12:51.376981,0.5217881202465326,1,gbdt,0.4725725835931315,0.0001228165164517989,0.7315135619904908,0.003814445509142491,155,13,0.021463939375485908,169,COMPLETE
5,5,0.9888695534789962,2022-06-19 13:50:23.194487,2022-06-19 14:01:51.497457,0 days 00:11:28.302970,0.7096779098929258,6,gbdt,0.8800930434222787,6.311473328883248e-07,0.13954072426335165,0.004094627778282805,231,57,0.06893846654806618,134,COMPLETE
6,6,0.9918908813273462,2022-06-19 14:01:51.498362,2022-06-19 14:07:16.252689,0 days 00:05:24.754327,0.749581797460271,6,gbdt,0.9109771750880176,0.00018893687572404892,1.3625128377372447e-06,0.13875721932561777,119,12,0.015143891394664682,253,COMPLETE
7,7,0.9926230202353975,2022-06-19 14:07:16.253643,2022-06-19 14:14:39.028788,0 days 00:07:22.775145,0.9928425657019126,4,gbdt,0.4020444778209793,1.7028908972727315,3.0582119990359434e-07,0.13846726791513625,189,30,0.015543522693083473,136,COMPLETE
8,8,0.9934420824158684,2022-06-19 14:14:39.029766,2022-06-19 14:31:39.201803,0 days 00:17:00.172037,0.842829737558284,3,gbdt,0.9401108993466838,0.5075360165194788,2.1181029181051983e-07,0.06412538431756477,133,58,0.05798770200720065,240,COMPLETE
9,9,0.9934420196592714,2022-06-19 14:31:39.202685,2022-06-19 14:46:36.818352,0 days 00:14:57.615667,0.4685956731814398,3,gbdt,0.5088425783894458,0.5275446153443103,0.03315437976194136,0.07046907775298634,146,51,0.046049126977302124,231,COMPLETE
10,10,0.9663288755905212,2022-06-19 14:46:36.819310,2022-06-19 14:54:56.029082,0 days 00:08:19.209772,0.7749678189574969,2,gbdt,0.9815364369250331,0.006469673743196853,1.7247429793078643e-08,0.0010869711286824926,32,26,0.09342769314668506,17,COMPLETE
11,11,0.9933623316933027,2022-06-19 14:54:56.030012,2022-06-19 15:11:55.746892,0 days 00:16:59.716880,0.40256162134001416,3,gbdt,0.7495711675353378,4.346228754172406,0.00553611313931115,0.03538108852701841,218,52,0.041206152416945266,256,COMPLETE
12,12,0.9933224907156751,2022-06-19 15:11:55.747817,2022-06-19 15:28:55.649875,0 days 00:16:59.902058,0.5496575302464428,3,gbdt,0.6130743025477705,0.014322074452693996,0.026603924087877637,0.03831662811038841,122,48,0.03413248054896734,219,COMPLETE
13,13,0.992998625508125,2022-06-19 15:28:55.650728,2022-06-19 15:43:24.661891,0 days 00:14:29.011163,0.42567255017425265,2,gbdt,0.8024028939152703,0.24751872902520752,0.0003058640902559051,0.04753995155444582,80,45,0.05647263256057589,83,COMPLETE
14,14,0.9915392527195274,2022-06-19 15:43:24.662895,2022-06-19 15:47:56.654204,0 days 00:04:31.991309,0.6552525610080759,5,gbdt,0.531793339152142,0.002279538939694966,1.6417753386998265e-08,0.24190142506867635,207,54,0.03130904206222287,217,COMPLETE
15,15,0.9905188702610284,2022-06-19 15:47:56.655138,2022-06-19 16:01:56.747749,0 days 00:14:00.092611,0.8035979967451594,3,gbdt,0.6650652967231145,3.7356552546939987,7.039552804086971e-07,0.017907983510393143,254,22,0.0024304268251722147,26,COMPLETE
16,16,0.9933874211158682,2022-06-19 16:01:56.748621,2022-06-19 16:19:31.580855,0 days 00:17:34.832234,0.6344955245731945,2,gbdt,0.9923313016225137,0.11807791085108421,0.02243928006848711,0.08567157751772882,138,58,0.07981360690517252,235,COMPLETE
17,17,0.9925098428268326,2022-06-19 16:19:31.581897,2022-06-19 16:36:00.757401,0 days 00:16:29.175504,0.8405055736688425,7,gbdt,0.5700401289598525,1.1042749259042686e-08,1.4614247558097891e-05,0.019750952557961114,84,47,0.05253111818761357,199,COMPLETE
18,18,0.991495345841723,2022-06-19 16:36:00.758287,2022-06-19 16:40:23.403606,0 days 00:04:22.645319,0.9953276339803349,5,gbdt,0.8636855648967153,2.6773308395167167e-05,0.000385131326073356,0.27599831560937904,41,38,0.06453427124151208,154,COMPLETE
19,19,0.9932840818264542,2022-06-19 16:40:23.404468,2022-06-19 16:54:40.525623,0 days 00:14:17.121155,0.49769017738613514,3,gbdt,0.7452961764839521,0.0014228233411668987,7.455638391512793,0.07280096072591183,137,44,0.044554619978171235,83,COMPLETE
20,20,0.9930632448713276,2022-06-19 16:54:40.526551,2022-06-19 17:10:56.819873,0 days 00:16:16.293322,0.6484371293489722,5,gbdt,0.473257343224259,0.9299748353995421,1.4654696105747903e-07,0.02703408162784486,181,52,0.08224506544355209,236,COMPLETE
21,21,0.9934283633381551,2022-06-19 17:10:56.820749,2022-06-19 17:27:30.947360,0 days 00:16:34.126611,0.6075139268379586,2,gbdt,0.9923974453208001,0.06685556939595376,0.011259721461553863,0.07023252503179366,143,57,0.08373567563010206,231,COMPLETE
22,22,0.9934270902496506,2022-06-19 17:27:30.948306,2022-06-19 17:42:47.555472,0 days 00:15:16.607166,0.4771176105226148,2,gbdt,0.9217812021299442,0.06383497797218471,0.25434483615574827,0.05715726167597374,110,57,0.07326704429699081,196,COMPLETE
23,23,0.9933583856279969,2022-06-19 17:42:47.557614,2022-06-19 17:58:00.270343,0 days 00:15:12.712729,0.5799439837156022,1,gbdt,0.8214762018121625,8.415407435874588,0.003915724355170494,0.17610081264800512,156,61,0.08750156344613666,239,COMPLETE
